track_id,track_name,track_artist,track_album,genre,subgenre,score,audio_features
5bi0gh89wRuH2OgjdAKFsb,Santa,"Rvssian, Rauw Alejandro, Ayra Starr",Santa,latin,reggaeton,0.8546943280737582,"{'energy': 0.7156992685073705, 'tempo': 0.316043470941434, 'danceability': 0.6986951364175562, 'loudness': 0.8595398104054476, 'liveness': 0.10010764262648009, 'valence': 0.6501272264631044, 'speechiness': 0.12827352085354027, 'instrumentalness': 0.00019464469618949538, 'acousticness': 0.322604010686776}"
6zMUIb4uce1CzpbjR3vMdN,Foolish,Ashanti,Ashanti,r&b,modern,0.8496670884576977,"{'energy': 0.70153481925151, 'tempo': 0.254478342467718, 'danceability': 0.627520759193357, 'loudness': 0.8429391606213006, 'liveness': 0.09149623250807319, 'valence': 0.7126802374893978, 'speechiness': 0.036372453928225024, 'instrumentalness': 0.0, 'acousticness': 0.3487350132418855}"
2tHwzyyOLoWSFqYNjeVMzj,Please Please Please,Sabrina Carpenter,Short n' Sweet,pop,global,0.8471141136371467,"{'energy': 0.5912544643308815, 'tempo': 0.3598261661148627, 'danceability': 0.6393831553973902, 'loudness': 0.8357514798166363, 'liveness': 0.08934337997847147, 'valence': 0.6215012722646311, 'speechiness': 0.03625121241513095, 'instrumentalness': 0.0, 'acousticness': 0.2582815428588141}"
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Sabrina Carpenter,Please Please Please,pop,mainstream,0.8465160948850705,"{'energy': 0.5912544643308815, 'tempo': 0.36017533030308707, 'danceability': 0.6322657176749703, 'loudness': 0.8360407672793627, 'liveness': 0.08934337997847147, 'valence': 0.5769720101781171, 'speechiness': 0.037342386032977695, 'instrumentalness': 0.0, 'acousticness': 0.27536719837561646}"
1cOboCuWYI2osTOfolMRS6,Tu Boda,"Oscar Maydon, Fuerza Regida",Tu Boda,pop,mainstream,0.8463651436361032,"{'energy': 0.6570179787330912, 'tempo': 0.3949483424053672, 'danceability': 0.6619217081850532, 'loudness': 0.8161244381147359, 'liveness': 0.06210979547900969, 'valence': 0.46246819338422396, 'speechiness': 0.06692531522793405, 'instrumentalness': 1.400617919670443e-05, 'acousticness': 0.49848575865385936}"
7iu0WYLdo4yksKf3seaxzI,Hate That I Love You,"Rihanna, Ne-Yo",Good Girl Gone Bad: Reloaded,blues,classic,0.8460457553287286,"{'energy': 0.7369459423911614, 'tempo': 0.27784740277959646, 'danceability': 0.594306049822064, 'loudness': 0.8514620143308559, 'liveness': 0.0829924650161464, 'valence': 0.7381255301102629, 'speechiness': 0.07820077594568381, 'instrumentalness': 0.0, 'acousticness': 0.3236090492465879}"
7H6ev70Weq6DdpZyyTmUXk,Say My Name,Destiny's Child,The Writing's On The Wall,blues,classic,0.8457283836679935,"{'energy': 0.6843351308693937, 'tempo': 0.5530760741475094, 'danceability': 0.6844602609727164, 'loudness': 0.8927411099737417, 'liveness': 0.1377825618945102, 'valence': 0.7413061916878712, 'speechiness': 0.09553831231813772, 'instrumentalness': 0.0, 'acousticness': 0.2743621598158046}"
7L3b6iaVhDVjfo52Hbvh9Z,Edge of Seventeen - 2016 Remaster,Stevie Nicks,Bella Donna (2016 Remastered),rock,80s,0.8449703912215835,"{'energy': 0.8118151741721386, 'tempo': 0.38752236833080816, 'danceability': 0.5397390272835112, 'loudness': 0.8087587342560862, 'liveness': 0.06544671689989236, 'valence': 0.6607294317217982, 'speechiness': 0.026915615906886528, 'instrumentalness': 6.15859938208033e-06, 'acousticness': 0.32863424204564745}"
0lQogzZgV4XwuUTasz3nPL,EN MI MUNDO,"Jasiel Nuñez, Peso Pluma",LA ODISEA,latin,modern,0.8446503593534127,"{'energy': 0.5993484353342304, 'tempo': 0.47202633695591195, 'danceability': 0.6619217081850532, 'loudness': 0.7844808402688148, 'liveness': 0.11840688912809473, 'valence': 0.6755725190839695, 'speechiness': 0.016246362754607183, 'instrumentalness': 0.0, 'acousticness': 0.39798190267266886}"
0ToG55iJZCOzZkcpWbXxpW,Vampire Empire,Big Thief,Vampire Empire,rock,feel-good,0.8441692833031107,"{'energy': 0.577090015075021, 'tempo': 0.5110703752891517, 'danceability': 0.5931198102016607, 'loudness': 0.7976767991454894, 'liveness': 0.07190527448869753, 'valence': 0.662849872773537, 'speechiness': 0.08256547041707082, 'instrumentalness': 0.0, 'acousticness': 0.2884326996531712}"
